x,origin,n_10,n_100,n_1000,n_10000
-2.4699999999999998,0.018884977141856187,0.006908670614448329,0.006634872553906421,0.022646212896734432,0.018407340338495122
-2.46,0.01935627673173696,0.007157749244219744,0.006843519896972731,0.02318105139354762,0.018866860501400243
-2.45,0.019837354391795313,0.007414709600494318,0.007057913852504677,0.023726242618246563,0.01933593132642059
-2.44,0.020328355738225837,0.007679757153737316,0.0072781841834821445,0.024281924115478165,0.019814695921888014
-2.4299999999999997,0.020829426985092204,0.007953101077487557,0.007504462643833085,0.024848233600534723,0.020303298022502855
-2.42,0.021340714899922782,0.008234954254605891,0.007736882978794455,0.025425308909836075,0.02080188194703261
-2.41,0.021862366757929387,0.008525533280951323,0.007975580924117608,0.02601328795019576,0.021310592554671805
-2.4,0.0223945302948429,0.008825058466389707,0.008220694204082439,0.02661230864687226,0.021829575200056326
-2.3899999999999997,0.022937353658360714,0.009133753833039488,0.008472362528285026,0.027222508890407327,0.02235897568692614
-2.38,0.023490985358201363,0.009451847110658957,0.008730727587163109,0.02784402648225452,0.022898940220431808
-2.37,0.02405557421476297,0.009779569729078372,0.008995933046223828,0.028476999079201815,0.023449615358080097
-2.36,0.024631269306382507,0.010117156807580725,0.009268124538937866,0.029121564136592563,0.024011147959315356
-2.3499999999999996,0.025218219915194417,0.010464847141134144,0.009547449658264514,0.02977785885035109,0.024583685133734094
-2.34,0.02581657547158769,0.010822883183379695,0.009834057946772026,0.030446020097819073,0.025167374187931416
-2.33,0.02642648549726172,0.011191511026277625,0.010128100885317595,0.031126184377410607,0.025762362570978213
-2.3200000000000003,0.02704809954688176,0.011570980376315572,0.01042973188025155,0.031818487747093914,0.02636879781852953
-2.31,0.027681567148336573,0.01196154452718297,0.010739106249110546,0.03252306576171012,0.02698682749556535
-2.3,0.028327037741601186,0.012363460328815499,0.011056381204764404,0.033240053409138576,0.02761659913776585
-2.29,0.028984660616209412,0.01277698815271504,0.011381715837982006,0.03396958504532119,0.028258260191524404
-2.2800000000000002,0.02965458484734125,0.01320239185345024,0.011715271098381368,0.03471179432815789,0.02891195795260279
-2.27,0.030336959230531636,0.013639938726244544,0.012057209773729635,0.03546681415028662,0.029577839503433432
-2.26,0.03103193221500827,0.01408989946055875,0.012407696467558859,0.03623477657076322,0.030256051649075355
-2.25,0.03173965183566742,0.0145525480895771,0.012766897575064206,0.037015812745656206,0.030946740851831404
-2.24,0.032460265643697445,0.015028161935506578,0.013134981257251186,0.03781005285757393,0.031650053164535
-2.23,0.03319392063586112,0.015517021550600564,0.013512117413299132,0.03861762604414136,0.03236613416251645
-2.2199999999999998,0.033940763182449214,0.01601941065381984,0.013898477651108833,0.03943866032544617,0.03309512887425924
-2.21,0.03470093895391882,0.01653561606304574,0.014294235256002675,0.04027328253047377,0.03383718171075893
-2.2,0.035474592846231424,0.017065927622761854,0.01469956515754613,0.041121618222552864,0.0345924363935975
-2.19,0.03626186890490622,0.01761063812712259,0.015114643894460286,0.04198379162383366,0.03536103588174753
-2.1799999999999997,0.0370629102478065,0.01817004323832995,0.015539649577595443,0.042859925538822,0.03614312229712171
-2.17,0.03787785898667748,0.0187444414002412,0.01597476185093724,0.04375014127699513,0.03693883684888522
-2.16,0.03870685614745561,0.019334133747133758,0.016420161850616854,0.044654558574523454,0.03774831975654844
-2.15,0.03955004158937022,0.019939424007555342,0.016876032161897887,0.04557329551512621,0.038571710171859334
-2.1399999999999997,0.04040755392286034,0.02056061840319093,0.01734255677411361,0.046506468450088476,0.0394091460995166
